Article,Comment,Relevance
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.","Da der Mörder nicht sofort in U-Haft sitzt, ist die Frage der Herkunft schon geklärt.",1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.","Es spricht sich eben herum, wie man in Deutschland willkürlich Menschen töten und trotzdem das Gefängnis vermeiden kann. Man tötet aus ""innerem Drang"". Aber klar, dann kann man nichts dafür.",1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.","Das müsste doch dann auch bei Verkehrsdelikten funktionieren. Also mit Auto und Tempo 100 durch die Fußgängerzone wegen ""innerem Drang"".",1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Zu einem messerscharfen Bericht hätte man durchaus noch den möglichen Migrationshintergrund des Messerstechers nennen dürfen.,1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.","21-jähriger Deutscher mit welchem Vornamen? Würde mich wundern, wenn es bei der hohen Anzahl von Messerangriffen hier nicht um eine ""schutzsuchende Fachkraft"" handeln würde.",1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Heute ist es sehr warm.,0
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Ich weiß nicht.,0
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Ich möchte ein Glas Wasser trinken.,0
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",Der Mann ist ein böse Mann.,1
"In Mellrichstadt hat ein 21-jähriger Mann in seinem Arbeitsumfeld mit einem Klappmesser auf Kollegen eingestochen. Eine 59-jährige Frau wurde dabei getötet, zwei Männer (55 und 62 Jahre alt) schwer verletzt. Der Tatverdächtige gestand die Tat und gab an, aus einem inneren Drang gehandelt und Drogen konsumiert zu haben. Er wurde kurz nach der Tat festgenommen und vorläufig in eine geschlossene Psychiatrie eingewiesen. Die Staatsanwaltschaft ermittelt wegen Mordes, versuchten Totschlags und gefährlicher Körperverletzung.",So ein Wahnsinnstäter!,1
